DATE,MNO W,MNO X,MNO Y,MNO Z,,,
5/2/2018,97.880,98.340,98.420,98.460,,,
5/3/2018,97.650,98.560,98.680,98.420,,,
5/4/2018,97.000,98.870,97.450,98.460,,,
5/5/2018,98.540,98.450,98.980,98.210,,,
5/6/2018,98.540,98.000,96.980,97.640,,,
5/7/2018,98.760,98.780,99.100,98.340,,,
5/8/2018,99.060,99.100,98.320,97.760,,,
5/9/2018,98.680,98.230,97.870,99.080,,,
5/10/2018,99.210,97.320,99.060,99.280,,,
5/11/2018,98.680,99.210,98.650,98.460,,,
5/12/2018,98.460,99.320,97.680,97.670,,,
5/13/2018,99.200,98.680,98.680,98.450,,,
5/14/2018,98.650,98.340,97.780,98.120,,,
5/15/2018,98.860,98.540,98.560,98.430,,,
5/16/2018,98.890,99.120,98.560,98.440,,,
5/17/2018,99.120,98.000,98.980,99.240,,,
5/18/2018,98.780,99.120,99.080,97.560,,,
5/19/2018,98.430,98.430,98.540,97.800,,,
5/20/2018,99.200,98.460,98.650,98.540,,,
5/21/2018,99.030,98.120,97.780,98.980,,,
5/22/2018,98.450,98.490,98.780,98.480,,,
5/23/2018,98.450,98.000,98.650,99.020,,,
5/24/2018,96.450,99.120,98.320,97.820,,,
5/25/2018,98.670,99.210,98.450,98.230,,,
5/26/2018,98.980,98.560,98.980,98.320,,,
5/27/2018,96.670,97.500,97.990,95.340,,,
5/28/2018,97.870,98.340,98.650,96.670,,,
5/29/2018,96.780,98.440,97.780,98.560,,,
5/30/2018,97.780,99.210,99.340,98.980,,,
5/31/2018,96.780,99.230,98.560,97.680,,,
6/1/2018,97.780,98.480,98.760,98.440,,,
6/2/2018,96.780,99.210,98.890,97.800,,,
6/3/2018,96.780,98.860,98.680,98.560,,,
6/4/2018,96.610,98.980,97.670,98.020,,,
6/5/2018,97.670,98.670,97.890,98.440,,,
6/6/2018,97.780,98.780,98.860,98.450,,,
6/7/2018,98.560,99.439,97.540,98.990,,,
6/8/2018,98.800,99.000,98.320,99.030,,,
6/9/2018,97.560,98.210,98.430,99.210,,,
6/10/2018,98.560,98.230,98.460,98.430,,,
6/11/2018,98.540,99.250,98.680,99.160,,,
6/12/2018,98.860,99.230,98.720,98.980,,,
6/13/2018,98.560,98.320,97.670,99.220,,,
6/14/2018,97.720,98.320,98.650,99.120,,,
6/15/2018,98.560,99.000,95.890,98.450,,,
6/16/2018,97.780,99.200,98.540,98.680,,,
6/17/2018,96.890,99.250,98.560,99.320,,,
6/18/2018,98.790,98.320,97.780,99.010,,,
6/19/2018,96.670,98.420,98.210,98.560,,,
6/20/2018,98.670,99.150,97.980,99.060,,,
6/21/2018,99.210,99.140,97.720,99.120,,,
6/22/2018,98.880,98.340,95.690,98.980,,,
6/23/2018,98.790,98.680,94.980,99.220,,,
6/24/2018,98.560,99.200,98.560,99.080,,,
6/25/2018,98.670,98.680,97.780,99.110,,,
6/26/2018,99.340,98.000,98.680,98.780,,,
6/27/2018,99.030,99.230,98.680,98.980,,,
6/28/2018,98.560,99.280,98.780,98.780,,,
6/29/2018,98.980,98.120,98.980,98.680,,,
6/30/2018,96.780,98.370,97.780,98.680,,,
7/1/2018,98.670,99.200,98.650,99.040,,,
7/2/2018,98.670,99.230,98.600,99.180,,,
7/3/2018,98.560,98.280,98.670,98.210,,,
7/4/2018,98.230,99.000,98.980,98.460,,,
7/5/2018,98.480,99.240,98.560,98.320,,,
7/6/2018,98.670,99.056,97.230,97.780,,,
7/7/2018,99.210,99.300,97.560,98.560,,,
7/8/2018,99.030,98.450,98.870,99.560,,,
7/9/2018,99.320,99.650,97.980,99.040,,,
7/10/2018,99.210,98.480,98.560,99.080,,,
7/11/2018,99.090,99.000,98.450,98.640,,,
7/12/2018,97.780,99.050,98.560,98.340,,,
7/13/2018,99.450,99.340,97.450,99.150,,,
7/14/2018,99.170,99.340,97.500,99.040,,,
7/15/2018,98.680,99.230,98.670,98.570,,,
7/16/2018,98.890,99.000,96.670,99.230,,,
7/17/2018,99.040,98.420,96.900,99.200,,,
7/18/2018,98.690,98.780,98.670,98.580,,,
7/19/2018,97.890,99.540,98.340,98.560,,,
7/20/2018,95.890,98.680,97.980,98.440,,,
7/21/2018,98.670,99.320,98.450,99.260,,,
7/22/2018,98.560,99.120,98.340,98.580,,,
7/23/2018,98.670,99.210,98.990,98.780,,,
7/24/2018,96.780,98.460,99.000,96.870,,,
7/25/2018,98.760,98.670,98.120,98.650,,,
7/26/2018,98.840,99.000,98.270,98.540,,,
7/27/2018,99.020,98.760,98.800,98.500,,,
7/28/2018,98.450,98.970,98.500,97.980,,,
7/29/2018,98.760,99.230,99.000,99.120,,,
7/30/2018,98.210,99.160,98.430,99.050,,,
